STATE,state,year,wbgt_26_diff,wbgt_30_diff
DC,11,2000,1.0606936416184958,0
DC,11,2001,0.060693641618495775,0.020231213872832443
DC,11,2002,-1.9190751445086676,0
DC,11,2003,1.020231213872833,0
DC,11,2004,0.06069364161849755,0
DC,11,2005,0.060693641618495775,0
DC,11,2006,-0.9595375722543338,0
DC,11,2007,-0.9190751445086711,0
DC,11,2008,0.02023121387283311,0
DC,11,2009,0.02023121387283311,0
DC,11,2010,0,0
DC,11,2011,0.02023121387283311,0
DC,11,2012,0.04046242774566622,0
DC,11,2013,-0.9393063583815042,0
DC,11,2014,0,0
DC,11,2015,0.08092485549132888,0
DC,11,2016,0,0
DC,11,2017,-0.9393063583815042,0
DC,11,2018,-2.9393063583815042,0.02023121387283237
DC,11,2019,0.08092485549133244,0.02023121387283237
DC,11,2020,-0.9595375722543338,0
DE,10,1982,0.2486452282855538,0
DE,10,1983,0.9499315169966636,0.45388367601465435
DE,10,1984,0.13215983639029005,0
DE,10,1985,1.063269424194143,0
DE,10,1986,-0.18396637990042386,0
DE,10,1987,0.4641523629958044,-0.09261883610933133
DE,10,1988,1.157253258332652,0.15802145358769537
DE,10,1989,0.14364316265202248,0
DE,10,1990,0.7061212047545808,0.28150760493567706
DE,10,1991,0.6584220586006779,-0.09189376543902528
DE,10,1992,0.43173141794816594,0
DE,10,1993,0.7534091431210577,-0.05693748271392107
DE,10,1994,0.14794052197921204,0
DE,10,1995,0.3619979626701273,0.07541899441340782
DE,10,1996,1.2322618598842592,0
DE,10,1997,0.6436430978864944,0
DE,10,1998,-0.2718346129833904,0
DE,10,1999,0.3982425687813915,0.35683561171919254
DE,10,2000,0.27600830370423957,0
DE,10,2001,0.4328168354922628,0.33564995532089736
DE,10,2002,-0.05822749578366171,0
DE,10,2003,1.3523669149298314,0
DE,10,2004,0.8481104945118663,0
DE,10,2005,0.13785287968561022,0.07623547408731157
DE,10,2006,1.7641915330603162,-0.3319935610344844
DE,10,2007,-0.27458429890808844,0.02822496360636223
DE,10,2008,1.0927488703386743,0
DE,10,2009,3.347095316218443,0
DE,10,2010,1.4769376300588206,0.1680633147113595
DE,10,2011,0.9096559732968323,0.3572315332091869
DE,10,2012,0.01540474759860544,0
DE,10,2013,-0.43540408539313447,0
DE,10,2014,0.08393124477561642,0
DE,10,2015,-1.2238855661732035,0
DE,10,2016,-0.37220539031116573,-1.092603651396195
DE,10,2017,-0.5766545837340846,0
DE,10,2018,0.3151050618670759,0.2774674115456238
DE,10,2019,-0.2159645287040206,-0.8788019863438858
DE,10,2020,-0.5178121539464193,0
FL,12,1982,-8.742640690131026,0.04671704117209163
FL,12,1983,-12.372825804593106,1.1812421797472443
FL,12,1984,-10.26483627852609,0.1189632309821767
FL,12,1985,-18.62795528976352,0.6799047488971206
FL,12,1986,-6.958658434611564,1.90183283855366
FL,12,1987,-8.649624074865386,0.4290738644459545
FL,12,1988,-11.967184672731037,0.309410208948661
FL,12,1989,-16.0211851558945,0.6258526428411558
FL,12,1990,-11.321340539865517,0.8397783152033306
FL,12,1991,-14.104231134786104,-0.23092397564820072
FL,12,1992,-14.048637526568683,-0.06667198052467144
FL,12,1993,-10.183556969030832,1.3426450942585713
FL,12,1994,-23.536826698522077,-0.21054094601764317
FL,12,1995,-18.042510593204057,-2.1840458482598826
FL,12,1996,-16.943769549933265,-0.16442780622222414
FL,12,1997,-14.613730123990123,0.6352427627684314
FL,12,1998,-8.354079545163302,-1.8259975896214975
FL,12,1999,-15.063706363013395,0.728197650701905
FL,12,2000,-9.295246882290357,0.7972067060943069
FL,12,2001,-10.826383102670263,-0.16343859016350684
FL,12,2002,-14.057169768282577,0.3449790777491897
FL,12,2003,-21.357170617493026,0.09144997157647063
FL,12,2004,-11.463331311221054,0.01229530105668312
FL,12,2005,-13.027227834861492,0.10128885699941614
FL,12,2006,-11.259675649827784,4.989397530248223e-4
FL,12,2007,-9.303035015883651,1.3176561742461494
FL,12,2008,-12.217231724427805,0
FL,12,2009,-17.304279884228038,-0.6094254456795838
FL,12,2010,-10.034671979276567,0.47524039862441825
FL,12,2011,-7.564088101658726,0.4465272565005922
FL,12,2012,-13.268527090240326,0.41896913806386543
FL,12,2013,-12.363598663844684,0.008535433632103209
FL,12,2014,-12.853628358267855,0.16199374710072245
FL,12,2015,-15.793010425264924,1.6543424809049068
FL,12,2016,-10.515562971980032,0.3757255077274834
FL,12,2017,-14.993987102223514,0.096510991454934
