STATE,state,year,fed_prison_type,wbgt_26_prison,wbgt_28_prison,wbgt_30_prison,wbgt_35_prison,wbgt_26_state,wbgt_28_state,wbgt_30_state,wbgt_35_state,wbgt_26_diff,wbgt_28_diff,wbgt_30_diff,wbgt_35_diff
KY,21,2017,FCI,6.062311557788945,0,0,0,15.912846559041563,3.208444223997271,0.1495429337079938,0,-9.850535001252618,-3.208444223997271,-0.1495429337079938,0
KY,21,2017,USP,8.045792563600783,0.4771037181996086,0,0,15.912846559041563,3.208444223997271,0.1495429337079938,0,-7.867053995440781,-2.7313405057976623,-0.1495429337079938,0
KY,21,2017,Work camp,7.737876802096985,0.381389252948886,0,0,15.912846559041563,3.208444223997271,0.1495429337079938,0,-8.174969756944577,-2.827054971048385,-0.1495429337079938,0
KY,21,2018,Administrative facility,22,2,0,0,33.52245393594881,4.738241366511412,0.06715091124579523,0,-11.52245393594881,-2.738241366511412,-0.06715091124579523,0
KY,21,2018,FCI,18.280402010050253,2.0623115577889446,0,0,33.52245393594881,4.738241366511412,0.06715091124579523,0,-15.242051925898558,-2.675929808722467,-0.06715091124579523,0
KY,21,2018,USP,18.064970645792563,1.4313111545988257,0,0,33.52245393594881,4.738241366511412,0.06715091124579523,0,-15.457483290156247,-3.306930211912586,-0.06715091124579523,0
KY,21,2018,Work camp,19.404980340760158,1.836173001310616,0,0,33.52245393594881,4.738241366511412,0.06715091124579523,0,-14.117473595188653,-2.9020683652007957,-0.06715091124579523,0
KY,21,2019,Administrative facility,28,1,0,0,35.173692101123684,4.239968741230831,0.029122976872311954,0,-7.1736921011236845,-3.2399687412308307,-0.029122976872311954,0
KY,21,2019,FCI,26.218090452261308,1.5467336683417086,0,0,35.173692101123684,4.239968741230831,0.029122976872311954,0,-8.955601648862377,-2.693235072889122,-0.029122976872311954,0
KY,21,2019,USP,23.81682974559687,1.4313111545988257,0,0,35.173692101123684,4.239968741230831,0.029122976872311954,0,-11.356862355526815,-2.808657586632005,-0.029122976872311954,0
KY,21,2019,Work camp,25.187418086500656,1.0144167758846658,0,0,35.173692101123684,4.239968741230831,0.029122976872311954,0,-9.986274014623028,-3.225551965346165,-0.029122976872311954,0
KY,21,2020,Administrative facility,19,0,0,0,24.082931245087668,2.1757464569218925,0,0,-5.082931245087668,-2.1757464569218925,0,0
KY,21,2020,FCI,25.218090452261308,1.0311557788944723,0,0,24.082931245087668,2.1757464569218925,0,0,1.1351592071736398,-1.1445906780274202,0,0
KY,21,2020,USP,19.248140900195693,0,0,0,24.082931245087668,2.1757464569218925,0,0,-4.8347903448919745,-2.1757464569218925,0,0
KY,21,2020,Work camp,21.615989515072084,0.49017038007863695,0,0,24.082931245087668,2.1757464569218925,0,0,-2.4669417300155843,-1.6855760768432555,0,0
LA,22,1982,FCI,107.27248120300752,45.658045112781956,0,0,108.15921036156342,52.459901094167314,0.46722770741793745,0,-0.8867291585559087,-6.8018559813853585,-0.46722770741793745,0
LA,22,1982,ICE facility,110,49,1,0,108.15921036156342,52.459901094167314,0.46722770741793745,0,1.8407896384365756,-3.4599010941673143,0.5327722925820626,0
LA,22,1982,USP,105,36,0,0,108.15921036156342,52.459901094167314,0.46722770741793745,0,-3.1592103615634244,-16.459901094167314,-0.46722770741793745,0
LA,22,1982,Work camp,106.74834437086092,43.43046357615894,0,0,108.15921036156342,52.459901094167314,0.46722770741793745,0,-1.4108659907025043,-9.029437518008372,-0.46722770741793745,0
LA,22,1983,FCI,83.13624060150376,47.54496240601504,1.4318796992481202,0,82.29248516722507,42.877015944635836,1.1240158313338644,0,0.843755434278691,4.667946461379202,0.3078638679142558,0
LA,22,1983,ICE facility,84,45,4,0,82.29248516722507,42.877015944635836,1.1240158313338644,0,1.7075148327749332,2.1229840553641637,2.8759841686661356,0
