STATE,STATEFP,Type,wbgt_26_mean,wbgt_28_mean,wbgt_30_mean,wbgt_35_mean,wbgt_26_pop_mean,wbgt_28_pop_mean,wbgt_30_pop_mean,wbgt_35_pop_mean
OH,39,Other,7.4,0.2,0,0,2678.8,72.4,0,0
OH,39,State,12.594526112574657,0.9455265751000462,0.0019345627124097574,0,626288,47018.2,96.2,0
OK,40,County,68.77991669146087,30.631389467420412,3.372359416840226,0,462338.60000000003,205904.2,22669,0
OK,40,Federal,66.37139019476159,26.55437653906425,1.6967539735840609,0,296481,118618.4,7579.4,0
OK,40,Local,73.4,36.8,6.6,0,1174.4,588.8,105.6,0
OK,40,State,72.13261861136019,32.20547347081985,3.0338544306264863,0,1850273.8,826102.6,77821.4,0
OR,41,County,5.195904887714663,0.3627146631439894,0,0,31466.4,2196.6,0,0
OR,41,Federal,5.4,0.2,0,0,9390.6,347.8,0,0
OR,41,Local,2.8,0,0,0,5.6,0,0,0
OR,41,State,7.050993282835501,0.24028869515506646,0,0,98671.59999999999,3362.6000000000004,0,0
PA,42,County,12.385917983012414,1.8855451785233868,0.07575233483223798,0,322269.2,49060,1971,0
PA,42,Federal,7.678200311555026,1.514267387519472,0.07000824704480894,0,83792.2,16525.2,764,0
PA,42,Local,25.315896843725945,6,0.4,0,131541.4,31176,2078.4,0
PA,42,Other,9.0109375,0.51171875,0,0,4613.6,262,0,0
PA,42,Other,5.587755102040816,0.08979591836734693,0,0,1369,22,0,0
PA,42,State,5.946818181818181,0.7188413547237077,0.028319964349376114,0,266893.2,32261.600000000002,1271,0
RI,44,Other,10.2,2.6,0.2,0,5232.6,1333.8,102.6,0
RI,44,State,9.4,2.4,0.2,0,26978,6888,574,0
SC,45,County,64.28188993404692,16.77662449994594,0.3169207481889934,0,594543.2,155167,2931.2,0
SC,45,Federal,78.75497345132743,24.939823008849558,0.276212389380531,0,444965.6,140910,1560.6000000000001,0
SC,45,Local,54.4,5.2,0,0,5603.2,535.6,0,0
SC,45,State,75.10334980183507,21.670981052174387,0.09678049839839296,0,1383328.6,399157.8,1782.6000000000001,0
SD,46,County,8.651365313653137,1.6503321033210332,0.1791881918819188,0,11722.6,2236.2,242.8,0
SD,46,Federal,22.4,7,1.2,0,10908.8,3409,584.4,0
SD,46,State,16.62964692150569,4.446746425444996,0.6781441494018092,0,56989.8,15239,2324,0
TN,47,County,47.02486503162116,10.296566404442387,0.543341045812124,0,1524311,333763.2,17612.4,0
TN,47,Federal,76.68125984251968,32.100787401574806,2.809763779527559,0,97385.2,40768,3568.4,0
TN,47,Local,11.935483870967742,0.589247311827957,0.01935483870967742,0,1110,54.800000000000004,1.8,0
TN,47,Other,72.2,27.2,2,0,3393.4,1278.4,94,0
TN,47,State,49.04369405635804,13.790859578498697,0.6996826900307838,0,1035557.6,291194,14773.8,0
TX,48,County,103.05241959617652,50.847923671378524,3.044265671484148,0,5854098.8,2888518,172935.6,0
TX,48,Federal,97.0853662905248,44.344768045853485,2.6891492029374886,0,2710138,1237884.2,75067.6,0
TX,48,Local,108.56870748299319,55.82993197278912,4.043537414965987,0,15959.6,8207,594.4,0
TX,48,Other,97.28087056128294,35.27525773195876,0.7994272623138602,0,339704.8,123181.2,2791.6,0
TX,48,State,101.60526438997522,48.843464610300195,2.7736202148168547,0,14757148.6,7094024.8,402840.6,0
UT,49,County,10.959341723136495,1.3008712487899323,0,0,56605,6719,0,0
UT,49,Federal,7,0,0,0,4823,0,0,0
UT,49,State,7.5597008724553385,0.034482758620689655,0,0,36392.4,166,0,0
VA,51,County,33.86047420531527,9.220297029702971,0.40891089108910894,0,519826,141550,6277.6,0
VA,51,Federal,35.58921639108555,10.39626168224299,0.39985621854780734,0,148513.8,43383.6,1668.6000000000001,0
VA,51,Local,45.45928820655966,13.037208653175156,1.0964689462665738,0,325715.8,93411.6,7856.2,0
VA,51,State,31.772107458701818,8.496726180543968,0.3643851159686301,0,952051.2,254604.4,10918.8,0
VT,50,State,3.5880597014925373,0.5292110874200426,0,0,5048.4,744.6,0,0
WA,53,County,2.8785227867993712,0.1855945521215296,0,0,32970.6,2125.8,0,0
WA,53,Federal,0.2,0,0,0,417,0,0,0
WA,53,Local,1.6943262411347517,0.08226950354609928,0,0,477.8,23.2,0,0
WA,53,State,3.38458253490282,0.23307966055297016,0,0,61819.4,4257.2,0,0
WI,55,County,5.406664604917272,1.043636925931653,0.05543528684088449,0,69929.8,13498.4,717,0
WI,55,Federal,6.6,0.8,0,0,6718.8,814.4,0,0
WI,55,State,5.538515400325095,0.9997916058850498,0.03716917434251657,0,132885.6,23988,891.8,0
WV,54,County,11.94364416346805,1.0523368706254232,0.028448859787762477,0,52898.4,4660.8,126,0
WV,54,Federal,3.026406685236769,0.04828969359331477,0,0,27162,433.4,0,0
WV,54,State,8.074286904018322,0.7219654382677494,0.0010410160316468874,0,38780.8,3467.6000000000004,5,0
WY,56,County,0.33586698337292165,0,0,0,282.8,0,0,0
WY,56,Other,0.4,0,0,0,99.6,0,0,0
WY,56,State,1.577335104028331,0,0,0,3563.2,0,0,0
